Brand,Category,Colour,Product Link,Main Image,Product Name,Current Price,,,,,,,,,,,
Sosander,Dresses,Cream,https://www.sosandar.com/petite-champagne-gold-metallic-plisse-twist-front-maxi-dress,https://cdn.sosandar.com/media/catalog/product/cache/0ad62aa88f50338ba969372be71afacb/2/4/2404_28_s24dj115mc0003_28_149_swap_1.jpg,Petite Champagne Gold Metallic Plisse Twist Front Maxi Dress,£89.00,,,,,,,,,,,petite champagne gold metallic plisse twist front maxi dress
Sosander,Shorts,Red,https://www.sosandar.com/petite-pastel-blue-tailored-shorts,https://cdn.sosandar.com/media/catalog/product/cache/0ad62aa88f50338ba969372be71afacb/w/e/web_2406_28_s24tw173ivfl01_s24bw086be0002_28_025_1_1.jpg,Petite Pastel Blue Tailored Shorts,£49.00,,,,,,,,,,,petite pastel blue tailored shorts
Sosander,Jumpsuits & Playsuits,Blue,https://www.sosandar.com/petite-powder-blue-luxe-lace-belted-jumpsuit,https://cdn.sosandar.com/media/catalog/product/cache/0ad62aa88f50338ba969372be71afacb/w/e/web_2403_33_s24jw017be0002_33_033_rt_1.jpg,Petite Powder Blue Luxe Lace Belted Jumpsuit,£89.00,,,,,,,,,,,petite powder blue luxe lace belted jumpsuit
Sosander,Jumpsuits & Playsuits,Burgundy,https://www.sosandar.com/petite-burgundy-broderie-wrap-front-playsuit,https://cdn.sosandar.com/media/catalog/product/cache/0ad62aa88f50338ba969372be71afacb/2/4/2403_131_s24jw031rd0039_131_016_swap_1.jpg,Petite Burgundy Broderie Wrap Front Playsuit,£65.00,,,,,,,,,,,petite burgundy broderie wrap front playsuit
Sosander,Skirts,Cream,https://www.sosandar.com/petite-ivory-spot-print-satin-ruffle-hem-midi-skirt,https://cdn.sosandar.com/media/catalog/product/cache/0ad62aa88f50338ba969372be71afacb/w/e/web_2405_52_s24sw043bksp01_52_136_1.jpg,Petite Ivory Spot Print Satin Ruffle Hem Midi Skirt,£45.00,,,,,,,,,,,petite ivory spot print satin ruffle hem midi skirt
Sosander,Tops,Red,https://www.sosandar.com/petite-orange-embroidered-top-with-broderie-trim,https://cdn.sosandar.com/media/catalog/product/cache/0ad62aa88f50338ba969372be71afacb/w/e/web_2403_12_s24tw084cr0001_12_1012259_2.jpg,Petite Orange Embroidered Top With Broderie Trim,£55.00,,,,,,,,,,,petite orange embroidered top with broderie trim
Sosander,Skirts,Red,https://www.sosandar.com/petite-orange-embroidered-midi-skirt-with-broderie-trim,https://cdn.sosandar.com/media/catalog/product/cache/0ad62aa88f50338ba969372be71afacb/w/e/web_2403_12_s24tw084cr0001_s24sw018cr0001_12_003_2.jpg,Petite Orange Embroidered Midi Skirt With Broderie Trim,£59.00,,,,,,,,,,,petite orange embroidered midi skirt with broderie trim
Sosander,Tops,Cream,https://www.sosandar.com/petite-ivory-puff-sleeve-rib-jersey-top,https://cdn.sosandar.com/media/catalog/product/cache/0ad62aa88f50338ba969372be71afacb/w/e/web_2401_94_s24tj010we0001_94_095_1.jpg,Petite Ivory Puff Sleeve Rib Jersey Top,£49.00,,,,,,,,,,,petite ivory puff sleeve rib jersey top
Sosander,Skirts,Cream,https://www.sosandar.com/petite-ivory-split-hem-midi-skirt,https://cdn.sosandar.com/media/catalog/product/cache/0ad62aa88f50338ba969372be71afacb/w/e/web_2404_112_s24sw021we0001_112_051_1_1.jpg,Petite Ivory Split Hem Midi Skirt,£49.00,,,,,,,,,,,petite ivory split hem midi skirt
Sosander,Shorts,Red,https://www.sosandar.com/petite-white-tailored-longline-shorts,https://cdn.sosandar.com/media/catalog/product/cache/0ad62aa88f50338ba969372be71afacb/w/e/web_2406_31_s24tk603mc0015_s24tk604mc0015_31_067_1.jpg,Petite White Tailored Longline Shorts,£45.00,,,,,,,,,,,petite white tailored longline shorts
Sosander,Blazers,Pink,https://www.sosandar.com/petite-soft-pink-textured-double-breasted-longline-blazer,https://cdn.sosandar.com/media/catalog/product/cache/0ad62aa88f50338ba969372be71afacb/w/e/web_2405_34_s24ow058pk0003_34_lm_019_2.jpg,Petite Soft Pink Double Breasted Longline Blazer,£85.00,,,,,,,,,,,petite soft pink double breasted longline blazer
