Position,Category,Brand,Colour,Product Name,Current Price,Original Price,Discount,Product Link,Main Image,Main Image Alt,Swatch Image 1,Swatch Alt 1,Swatch Image 2,Swatch Alt 2
100,Jeans,River Island,,Petite Snakeskin Relaxed Straight Leg Jeans,£60.00,,,https://www.riverisland.com/p/petite-snakeskin-relaxed-straight-leg-jeans-913857,https://images.riverisland.com/image/upload/t_plp_portraitSmall/f_auto/q_auto/913857_main?_a=BATAV5AA0,Petite Snakeskin Relaxed Straight Leg Jeans,,,,
101,Trousers,River Island,Yellow,Petite Yellow Printed Broderie Trousers,£45.00,,,https://www.riverisland.com/p/petite-yellow-printed-broderie-trousers-915708,https://images.riverisland.com/image/upload/t_plp_portraitSmall/f_auto/q_auto/915708_main?_a=BATAV5AA0,Petite Yellow Printed Broderie Trousers,https://images.riverisland.com/is/image/RiverIsland/915708_swatch,,https://images.riverisland.com/is/image/RiverIsland/915269_swatch,
102,Swimwear,River Island,Yellow,Petite Yellow Floral Halterneck Swimsuit,£28.00,,,https://www.riverisland.com/p/petite-yellow-floral-halterneck-swimsuit-916727,https://images.riverisland.com/image/upload/t_plp_portraitSmall/f_auto/q_auto/916727_main?_a=BATAV5AA0,Petite Yellow Floral Halterneck Swimsuit,,,,
103,Skirts,River Island,Pink,Petite Pink Fluffy Knit Maxi Skirt,£35.00,,,https://www.riverisland.com/p/petite-pink-fluffy-knit-maxi-skirt-914197,https://images.riverisland.com/image/upload/t_plp_portraitSmall/f_auto/q_auto/914197_main?_a=BATAV5AA0,Petite Pink Fluffy Knit Maxi Skirt,,,,
104,Dresses,River Island,Yellow,Petite Yellow Ditsy Print Tiered Maxi Dress,£38.00,,,https://www.riverisland.com/p/petite-yellow-ditsy-print-tiered-maxi-dress-916421,https://images.riverisland.com/image/upload/t_plp_portraitSmall/f_auto/q_auto/916421_main?_a=BATAV5AA0,Petite Yellow Ditsy Print Tiered Maxi Dress,,,,
105,Tops,River Island,Brown,Petite Brown Mesh Leopard Asymmetric Bodysuit,£35.00,,,https://www.riverisland.com/p/petite-brown-mesh-leopard-asymmetric-bodysuit-914435,https://images.riverisland.com/image/upload/t_plp_portraitSmall/f_auto/q_auto/914435_main?_a=BATAV5AA0,Petite Brown Mesh Leopard Asymmetric Bodysuit,,,,
106,Trousers,River Island,Cream,Petite Cream Side Stripe Knit Trousers,£35.00,,,https://www.riverisland.com/p/petite-cream-side-stripe-knit-trousers-912550,https://images.riverisland.com/image/upload/t_plp_portraitSmall/f_auto/q_auto/912550_main?_a=BATAV5AA0,Petite Cream Side Stripe Knit Trousers,,,,
107,Trousers,River Island,Black,Petite Black Stitched Wide Leg Trousers,£30.00,,,https://www.riverisland.com/p/petite-black-stitched-wide-leg-trousers-907201,https://images.riverisland.com/image/upload/t_plp_portraitSmall/f_auto/q_auto/907201_main?_a=BATAV5AA0,Petite Black Stitched Wide Leg Trousers,,,,
108,Dresses,River Island,Brown,Petite Brown Abstract Print Maxi Dress,£59.00,,,https://www.riverisland.com/p/petite-brown-abstract-print-maxi-dress-916059,https://images.riverisland.com/image/upload/t_plp_portraitSmall/f_auto/q_auto/916059_main?_a=BATAV5AA0,Petite Brown Abstract Print Maxi Dress,,,,
109,Trousers,River Island,Grey,Petite Grey Boucle Wide Leg Trousers,£38.00,,,https://www.riverisland.com/p/petite-grey-boucle-wide-leg-trousers-916720,https://images.riverisland.com/image/upload/t_plp_portraitSmall/f_auto/q_auto/916720_main?_a=BATAV5AA0,Petite Grey Boucle Wide Leg Trousers,,,,
110,Jeans,River Island,Black,Petite Black Relaxed Straight Floral Jeans,£50.00,,,https://www.riverisland.com/p/petite-black-relaxed-straight-floral-jeans-915674,https://images.riverisland.com/image/upload/t_plp_portraitSmall/f_auto/q_auto/915674_main?_a=BATAV5AA0,Petite Black Relaxed Straight Floral Jeans,,,,
111,Trousers,River Island,Black,Petite Black Pleated Wide Leg Culottes,£32.00,,,https://www.riverisland.com/p/petite-black-pleated-wide-leg-culottes-918037,https://images.riverisland.com/image/upload/t_plp_portraitSmall/f_auto/q_auto/918037_main?_a=BATAV5AA0,Petite Black Pleated Wide Leg Culottes,,,,
112,Blazers,River Island,Black,Petite Black Crepe Rolled Sleeve Blazer,£49.00,,,https://www.riverisland.com/p/petite-black-crepe-rolled-sleeve-blazer-914096,https://images.riverisland.com/image/upload/t_plp_portraitSmall/f_auto/q_auto/914096_main?_a=BATAV5AA0,Petite Black Crepe Rolled Sleeve Blazer,,,,
113,Shorts,River Island,Cream,Petite Cream Embroidered Drawstring Shorts,£28.00,,,https://www.riverisland.com/p/petite-cream-embroidered-drawstring-shorts-915712,https://images.riverisland.com/image/upload/t_plp_portraitSmall/f_auto/q_auto/915712_main?_a=BATAV5AA0,Petite Cream Embroidered Drawstring Shorts,,,,
114,Jeans,River Island,Black,Petite Black Zebra Relaxed Straight Jeans,£48.00,,,https://www.riverisland.com/p/petite-black-zebra-relaxed-straight-jeans-914390,https://images.riverisland.com/image/upload/t_plp_portraitSmall/f_auto/q_auto/914390_main?_a=BATAV5AA0,Petite Black Zebra Relaxed Straight Jeans,,,,
115,Tops,River Island,Yellow,Petite Yellow Broderie Shirt,£45.00,,,https://www.riverisland.com/p/petite-yellow-broderie-shirt-915707,https://images.riverisland.com/image/upload/t_plp_portraitSmall/f_auto/q_auto/915707_main?_a=BATAV5AA0,Petite Yellow Broderie Shirt,,,,
116,Tops,River Island,Cream,Petite Cream Embroidered Crop Top,£25.00,,,https://www.riverisland.com/p/petite-cream-embroidered-crop-top-915709,https://images.riverisland.com/image/upload/t_plp_portraitSmall/f_auto/q_auto/915709_main?_a=BATAV5AA0,Petite Cream Embroidered Crop Top,,,,
117,Jeans,River Island,Blue,Petite Blue Denim High Rise Slim Leg Jeans,£45.00,,,https://www.riverisland.com/p/petite-blue-denim-high-rise-slim-leg-jeans-914405,https://images.riverisland.com/image/upload/t_plp_portraitSmall/f_auto/q_auto/914405_main?_a=BATAV5AA0,Petite Blue Denim High Rise Slim Leg Jeans,,,,
118,Trousers,River Island,Black,Petite Black Metallic Wide Leg Trousers,£35.00,,,https://www.riverisland.com/p/petite-black-metallic-wide-leg-trousers-916824,https://images.riverisland.com/image/upload/t_plp_portraitSmall/f_auto/q_auto/916824_main?_a=BATAV5AA0,Petite Black Metallic Wide Leg Trousers,,,,
119,Tops,River Island,Brown,Petite Brown Leopard Print Sequin T-Shirt,£38.00,,,https://www.riverisland.com/p/petite-brown-leopard-print-sequin-t-shirt-914057,https://images.riverisland.com/image/upload/t_plp_portraitSmall/f_auto/q_auto/914057_main?_a=BATAV5AA0,Petite Brown Leopard Print Sequin T-Shirt,,,,
120,Trousers,River Island,Black,Petite Black Bootcut Trousers,£30.00,,,https://www.riverisland.com/p/petite-black-bootcut-trousers-915435,https://images.riverisland.com/image/upload/t_plp_portraitSmall/f_auto/q_auto/915435_main?_a=BATAV5AA0,Petite Black Bootcut Trousers,,,,
121,Jeans,River Island,Blue,Petite Blue Mid Rise Flared Jeans,£48.00,,,https://www.riverisland.com/p/petite-blue-mid-rise-flared-jeans-907125,https://images.riverisland.com/image/upload/t_plp_portraitSmall/f_auto/q_auto/907125_main?_a=BATAV5AA0,Petite Blue Mid Rise Flared Jeans,,,,
122,Dresses,River Island,Grey,Petite Grey Bodycon Jersey Dress,£28.00,,,https://www.riverisland.com/p/petite-grey-bodycon-jersey-dress-914888,https://images.riverisland.com/image/upload/t_plp_portraitSmall/f_auto/q_auto/914888_main?_a=BATAV5AA0,Petite Grey Bodycon Jersey Dress,https://images.riverisland.com/is/image/RiverIsland/914888_swatch,,https://images.riverisland.com/is/image/RiverIsland/914887_swatch,
123,Skirts,River Island,Black,Petite Black Satin Lace Midi Skirt,£45.00,,,https://www.riverisland.com/p/petite-black-satin-lace-midi-skirt-915690,https://images.riverisland.com/image/upload/t_plp_portraitSmall/f_auto/q_auto/915690_main?_a=BATAV5AA0,Petite Black Satin Lace Midi Skirt,,,,
124,Coats & Jackets,River Island,Brown,Petite Brown Leopard Print Sculpted Jacket,£69.00,,,https://www.riverisland.com/p/petite-brown-leopard-print-sculpted-jacket-912742,https://images.riverisland.com/image/upload/t_plp_portraitSmall/f_auto/q_auto/912742_main?_a=BATAV5AA0,Petite Brown Leopard Print Sculpted Jacket,,,,
125,Jeans,River Island,Grey,Petite Grey High Waisted Wide Leg Jeans,£50.00,,,https://www.riverisland.com/p/petite-grey-high-waisted-wide-leg-jeans-913101,https://images.riverisland.com/image/upload/t_plp_portraitSmall/f_auto/q_auto/913101_main?_a=BATAV5AA0,Petite Grey High Waisted Wide Leg Jeans,https://images.riverisland.com/is/image/RiverIsland/913101_swatch,,https://images.riverisland.com/is/image/RiverIsland/913130_swatch,
126,Dresses,River Island,Beige,Petite Beige Paisley Print Smock Mini Dress,£55.00,,,https://www.riverisland.com/p/petite-beige-paisley-print-smock-mini-dress-911474,https://images.riverisland.com/image/upload/t_plp_portraitSmall/f_auto/q_auto/911474_main?_a=BATAV5AA0,Petite Beige Paisley Print Smock Mini Dress,,,,
127,Trousers,River Island,Cream,Petite Cream High Waisted Wide Leg Trousers,£45.00,,,https://www.riverisland.com/p/petite-cream-high-waisted-wide-leg-trousers-914207,https://images.riverisland.com/image/upload/t_plp_portraitSmall/f_auto/q_auto/914207_main?_a=BATAV5AA0,Petite Cream High Waisted Wide Leg Trousers,,,,
128,Dresses,River Island,Black,Petite Black Bubble Hem Bodycon Mini Dress,£45.00,,,https://www.riverisland.com/p/petite-black-bubble-hem-bodycon-mini-dress-914930,https://images.riverisland.com/image/upload/t_plp_portraitSmall/f_auto/q_auto/914930_main?_a=BATAV5AA0,Petite Black Bubble Hem Bodycon Mini Dress,,,,
129,Tops,River Island,Brown,Petite Brown Leopard Ribbed Long Sleeve Top,£16.00,,,https://www.riverisland.com/p/petite-brown-leopard-ribbed-long-sleeve-top-914688,https://images.riverisland.com/image/upload/t_plp_portraitSmall/f_auto/q_auto/914688_main?_a=BATAV5AA0,Petite Brown Leopard Ribbed Long Sleeve Top,,,,
