Product Link,Main Image,Category,Brand,Colour,Product Name,Current Price,Original Price,Discount,Swatch Image 1,Swatch Image 2,Swatch Image 3,Swatch Image 4
https://www.boohoo.com/petite-bow-detail-open-back-mini-dress/HZZ19475.html?color=105,https://media.boohoo.com/i/boohoo/hzz19475_black_xl?w=900&qlt=default&fmt.jp2.qlt=70&fmt=auto&sm=fit,Dresses,BOOHOO,Black,PETITE BOW DETAIL OPEN BACK MINI DRESS,£14.00,£28.00,50% OFF,https://media.boohoo.com/i/boohoo/hzz19475_black_xl_s?w=32&h=32&qlt=default&fmt.jp2.qlt=70&fmt=jpg&sm=fit,,,
https://www.boohoo.com/petite-short-faux-fur-jacket/GZZ98927.html?color=105,https://media.boohoo.com/i/boohoo/gzz98927_black_xl?w=900&qlt=default&fmt.jp2.qlt=70&fmt=auto&sm=fit,Coats & Jackets,BOOHOO,Black,PETITE SHORT FAUX FUR JACKET,£20.00,£40.00,50% OFF,https://media.boohoo.com/i/boohoo/gzz98927_black_xl_s?w=32&h=32&qlt=default&fmt.jp2.qlt=70&fmt=jpg&sm=fit,,,
https://www.boohoo.com/petite-tiered-crinkle-chiffon-smock-dress/GZZ76965.html?color=105,https://media.boohoo.com/i/boohoo/gzz76965_black_xl?w=900&qlt=default&fmt.jp2.qlt=70&fmt=auto&sm=fit,Dresses,BOOHOO,Black,PETITE TIERED CRINKLE CHIFFON SMOCK DRESS,£22.00,,,https://media.boohoo.com/i/boohoo/gzz76965_black_xl_s?w=32&h=32&qlt=default&fmt.jp2.qlt=70&fmt=jpg&sm=fit,https://media.boohoo.com/i/boohoo/gzz76965_white_xl_s?w=32&h=32&qlt=default&fmt.jp2.qlt=70&fmt=jpg&sm=fit,,
https://www.boohoo.com/petite-faux-fur-lined-leather-jacket-/GZZ99828.html?color=105,https://media.boohoo.com/i/boohoo/gzz99828_black_xl?w=900&qlt=default&fmt.jp2.qlt=70&fmt=auto&sm=fit,Coats & Jackets,BOOHOO,Black,PETITE FAUX FUR LINED LEATHER JACKET,£31.50,£63.00,50% OFF,https://media.boohoo.com/i/boohoo/gzz99828_black_xl_s?w=32&h=32&qlt=default&fmt.jp2.qlt=70&fmt=jpg&sm=fit,,,
https://www.boohoo.com/petite-basic-cotton-asym-neck-bodycon-maxi-dress/GZZ93591.html?color=105,https://media.boohoo.com/i/boohoo/gzz93591_black_xl?w=900&qlt=default&fmt.jp2.qlt=70&fmt=auto&sm=fit,Dresses,BOOHOO,Black,PETITE BASIC COTTON ASYM NECK BODYCON MAXI DRESS,£10.00,£18.00,44% OFF,https://media.boohoo.com/i/boohoo/gzz93591_black_xl_s?w=32&h=32&qlt=default&fmt.jp2.qlt=70&fmt=jpg&sm=fit,,,
https://www.boohoo.com/petite-pu-split-hem-skort/HZZ16997.html?color=105,https://media.boohoo.com/i/boohoo/hzz16997_black_xl?w=900&qlt=default&fmt.jp2.qlt=70&fmt=auto&sm=fit,Skorts,BOOHOO,Black,PETITE PU SPLIT HEM SKORT,£9.00,£18.00,50% OFF,https://media.boohoo.com/i/boohoo/hzz16997_black_xl_s?w=32&h=32&qlt=default&fmt.jp2.qlt=70&fmt=jpg&sm=fit,,,
https://www.boohoo.com/petite-daisy-crystal-embellished-blazer-dress/GZZ07857.html?color=105,https://media.boohoo.com/i/boohoo/gzz07857_black_xl?w=900&qlt=default&fmt.jp2.qlt=70&fmt=auto&sm=fit,Blazers,BOOHOO,Black,PETITE DAISY CRYSTAL EMBELLISHED BLAZER DRESS,£25.00,£50.00,50% OFF,https://media.boohoo.com/i/boohoo/gzz07857_black_xl_s?w=32&h=32&qlt=default&fmt.jp2.qlt=70&fmt=jpg&sm=fit,,,
https://www.boohoo.com/petite-soft-knit-thick-ribbed-cardigan-and-wide-leg-trouser-set/HZZ01429.html?color=105,https://media.boohoo.com/i/boohoo/hzz01429_black_xl?w=900&qlt=default&fmt.jp2.qlt=70&fmt=auto&sm=fit,Trousers,BOOHOO,Black,PETITE SOFT KNIT THICK RIBBED CARDIGAN AND WIDE LEG TROUSER SET,£20.00,£40.00,50% OFF,https://media.boohoo.com/i/boohoo/hzz01429_black_xl_s?w=32&h=32&qlt=default&fmt.jp2.qlt=70&fmt=jpg&sm=fit,,,
https://www.boohoo.com/petite-basic-rib-scoop-neck-unitard/GZZ47126.html?color=105,https://media.boohoo.com/i/boohoo/gzz47126_black_xl?w=900&qlt=default&fmt.jp2.qlt=70&fmt=auto&sm=fit,Nightwear & Loungewear,BOOHOO,Black,PETITE BASIC RIB SCOOP NECK UNITARD,£7.50,£15.00,50% OFF,https://media.boohoo.com/i/boohoo/gzz47126_black_xl_s?w=32&h=32&qlt=default&fmt.jp2.qlt=70&fmt=jpg&sm=fit,,,
https://www.boohoo.com/petite-paisley-burnout-volume-sleeve-tiered-hem-skater-dress/HZZ15464.html?color=105,https://media.boohoo.com/i/boohoo/hzz15464_black_xl?w=900&qlt=default&fmt.jp2.qlt=70&fmt=auto&sm=fit,Dresses,BOOHOO,Black,PETITE PAISLEY BURNOUT VOLUME SLEEVE TIERED HEM SKATER DRESS,£18.00,£36.00,50% OFF,https://media.boohoo.com/i/boohoo/hzz15464_black_xl_s?w=32&h=32&qlt=default&fmt.jp2.qlt=70&fmt=jpg&sm=fit,,,
https://www.boohoo.com/petite-borg-flare-sleeve-knitted-maxi-dress/HZZ01643.html?color=105,https://media.boohoo.com/i/boohoo/hzz01643_black_xl?w=900&qlt=default&fmt.jp2.qlt=70&fmt=auto&sm=fit,Leggings & Jeggings,BOOHOO,Black,PETITE BORG FLARE SLEEVE KNITTED MAXI DRESS,£20.00,£40.00,50% OFF,https://media.boohoo.com/i/boohoo/hzz01643_black_xl_s?w=32&h=32&qlt=default&fmt.jp2.qlt=70&fmt=jpg&sm=fit,,,
https://www.boohoo.com/petite-rib-corset-bodysuit/HZZ14691.html?color=105,https://media.boohoo.com/i/boohoo/hzz14691_black_xl?w=900&qlt=default&fmt.jp2.qlt=70&fmt=auto&sm=fit,Tops,BOOHOO,Black,PETITE RIB CORSET BODYSUIT,£7.50,£15.00,50% OFF,https://media.boohoo.com/i/boohoo/hzz14691_black_xl_s?w=32&h=32&qlt=default&fmt.jp2.qlt=70&fmt=jpg&sm=fit,,,
