Brand,Product Link,Main Image,Current Price,Category,Product Name,Colour,Swatch Image 1,Swatch Image 2,Discount,Original Price,Swatch Image 3
Pixie Girl,https://www.pixiegirl.com/blk-longline-crochet-waistcoat-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/d74b52f3-eb07-42_224081_224157_L2.jpg,£15,Tops,PixieGirl Black Crochet Longline Waistcoat,Black,,,(40% OFF),£24.99,
Pixie Girl,https://www.pixiegirl.com/blk-ss-tie-back-dress-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/b01b2941-9a9f-4c_224800_B.jpg,£19.99,Dresses,PixieGirl Black Tie Back T-Shirt Dress,Black,https://cdn.pixiegirl.com/Images/ProductImages/Small/aba69b48-e7c4-46_224801_X.jpg,,,,
Pixie Girl,https://www.pixiegirl.com/2pk-blk-khk-button-rib-vest-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/15fd877b-ae45-45_224985_MS.jpg,£28.99,Tops,PixieGirl 2 PACK Black & Khaki Green Button Down Cami Tops,Black,https://cdn.pixiegirl.com/Images/ProductImages/Small/bc749af5-7009-4b_225420_XS.jpg,https://cdn.pixiegirl.com/Images/ProductImages/Small/10eb6da6-af18-4b_224986_XS.jpg,,,https://cdn.pixiegirl.com/Images/ProductImages/Small/f3e3f643-8a6d-44_225421_XS.jpg
Pixie Girl,https://www.pixiegirl.com/pixiegirl-black-textured-cropped-shirt-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/22304013-8fa7-40_224068_A.jpg,£19.99,Tops,PixieGirl Black Textured Cropped Shirt,Black,https://cdn.pixiegirl.com/Images/ProductImages/Small/4341ed71-eab1-4c_224070_X.jpg,,,,
Pixie Girl,https://www.pixiegirl.com/pixiegirl-black-abstract-print-linen-mini-dress-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/f122a9fe-6519-49_224380_C.jpg,£26.99,Dresses,PixieGirl Black Abstract Print Linen Mini Dress,Black,,,,,
Pixie Girl,https://www.pixiegirl.com/blk-active-rib-legging-224731-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/2b85c27b-47de-4b_224731_A.jpg,£17.99,Leggings & Jeggings,PixieGirl Active Black Ribbed Leggings,Black,https://cdn.pixiegirl.com/Images/ProductImages/Small/24f53f12-49e6-47_224732_X.jpg,,,,
Pixie Girl,https://www.pixiegirl.com/blk-active-rib-racer-vest-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/48de4b68-333d-4e_224733_A.jpg,£5,Tops,PixieGirl Active Black Ribbed Racer Back Vest Top,Black,https://cdn.pixiegirl.com/Images/ProductImages/Small/af994153-d7fe-4c_224734_X.jpg,,(47% OFF),£9.50,
Pixie Girl,https://www.pixiegirl.com/blk-spot-marking-wrap-dress-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/d8dc0d0e-e272-4c_224578_A.jpg,£26.99,Dresses,PixieGirl Black Abstract Spot Print Mini Wrap Dress,Black,https://cdn.pixiegirl.com/Images/ProductImages/Small/d8262389-e750-47_224579_X.jpg,,,,
Pixie Girl,https://www.pixiegirl.com/mocha-stripe-sweatshirt-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/3838fc78-ab1a-4f_224308_A.jpg,£22.99,Tops,PixieGirl Mocha Brown Stripe Sweatshirt,Black,https://cdn.pixiegirl.com/Images/ProductImages/Small/7914b083-79ff-48_225554_X.jpg,https://cdn.pixiegirl.com/Images/ProductImages/Small/f19db638-c893-44_225553_X.jpg,,,
Pixie Girl,https://www.pixiegirl.com/cargo-jacket-black-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/04716187-5ed2-41_223920_A.jpg,£29.99,Coats & Jackets,PixieGirl Black Zip Through Utility Jacket,Black,https://cdn.pixiegirl.com/Images/ProductImages/Small/a5d360e2-b24c-4f_223921_X.jpg,,,,
