Brand,Category,Colour,Product Link,Main Image,Product Name,Current Price,Original Price,Swatch Image 1,Swatch Image 2,Swatch Image 3,Swatch Image 4
Oasis,Dresses,Gray,https://www.warehousefashion.com/product/oasis-petite-occasion-jacquard-puff-sleeve-mini-dress_baa10866?colour=green,https://mediahub.debenhams.com/baa10866_green_xl?qlt=80&w=320&h=480&dpr=1&fit=ctn,Petite Occasion Jacquard Puff Sleeve Mini Dress,£31.00,£79.00,https://mediahub.debenhams.com/baa10866_green_xl_s?qlt=80&w=40&h=40&dpr=1&fit=cvr,https://mediahub.debenhams.com/baa10866_silver_xl_s?qlt=80&w=40&h=40&dpr=1&fit=cvr,,
Oasis,Shorts,Gray,https://www.warehousefashion.com/product/oasis-petite-velvet-geo-sequin-short_baa10988?colour=silver,https://mediahub.debenhams.com/baa10988_silver_xl?qlt=80&w=320&h=480&dpr=1&fit=ctn,Petite Velvet Geo Sequin Short,£33.25,£35.00,,,,
Pixie Girl,Coats & Jackets,Gray,https://www.warehousefashion.com/product/Pixie Girl-petite-faux-fur-gilet_p-9842552f-39a8-42db-bafa-30894fb88b74?colour=Grey,https://mediahub.debenhams.com/m5063110432845_grey_xl.jpeg?qlt=80&w=320&h=480&dpr=1&fit=ctn,Petite Faux Fur Gilet,£25.50,£44.99,,,,
Pixie Girl,Tops,Gray,https://www.warehousefashion.com/product/Pixie Girl-petite-cord-shirt_p-8f494827-51ef-46fd-835e-55ff4107f818?colour=Grey,https://mediahub.debenhams.com/m5063111767724_grey_xl.jpeg?qlt=80&w=320&h=480&dpr=1&fit=ctn,Petite Cord Shirt,£29.74,£34.99,https://mediahub.debenhams.com/m5063111767724_grey_xl_s.jpeg?qlt=80&w=40&h=40&dpr=1&fit=cvr,https://mediahub.debenhams.com/m5063111767656_green_xl_s.jpeg?qlt=80&w=40&h=40&dpr=1&fit=cvr,,
Dorothy Perkins,Dresses,Gray,https://www.warehousefashion.com/product/dorothy-perkins-petite-bengaline-mini-dress_bqq16664?colour=grey,https://mediahub.debenhams.com/bqq16664_grey_xl?qlt=80&w=320&h=480&dpr=1&fit=ctn,Petite Bengaline Mini Dress,£14.50,£29.00,https://mediahub.debenhams.com/bqq16664_grey_xl_s?qlt=80&w=40&h=40&dpr=1&fit=cvr,https://mediahub.debenhams.com/bqq16664_black_xl_s?qlt=80&w=40&h=40&dpr=1&fit=cvr,,
Wallis,Skirts,Gray,https://www.warehousefashion.com/product/wallis-petite-tipped-button-skirt-roll-neck-midi-dress_byy14164?colour=grey%20marl,https://mediahub.debenhams.com/byy14164_grey%20marl_xl?qlt=80&w=320&h=480&dpr=1&fit=ctn,Petite Tipped Button Skirt Roll Neck Midi Dress,£32.50,£65.00,https://mediahub.debenhams.com/byy14164_grey%20marl_xl_s?qlt=80&w=40&h=40&dpr=1&fit=cvr,https://mediahub.debenhams.com/byy14164_oatmeal_xl_s?qlt=80&w=40&h=40&dpr=1&fit=cvr,,
Pixie Girl,Tops,Gray,https://www.warehousefashion.com/product/Pixie Girl-check-print-brushed-boyfriend-shirt_p-c08871d2-c954-4782-8eed-b60016ace3f2?colour=Grey,https://mediahub.debenhams.com/m5063110971634_grey_xl.jpeg?qlt=80&w=320&h=480&dpr=1&fit=ctn,Check Print Brushed Boyfriend Shirt,£17.00,£29.99,,,,
Pixie Girl,Tops,Gray,https://www.warehousefashion.com/product/Pixie Girl-petite-brooklyn-92-slogan-t-shirt_p-40204553-0a83-4c6b-8fc0-62ff58bb3e64?colour=Grey,https://mediahub.debenhams.com/m5063111341962_grey_xl.jpeg?qlt=80&w=320&h=480&dpr=1&fit=ctn,Petite 'Brooklyn 92' Slogan T-Shirt,£15.29,£17.99,,,,
Dorothy Perkins,Dresses,Gray,https://www.warehousefashion.com/product/dorothy-perkins-petite-brushed-soft-touch-ruched-front-mini-dress_bqq19693?colour=charcoal,https://mediahub.debenhams.com/bqq19693_charcoal_xl?qlt=80&w=320&h=480&dpr=1&fit=ctn,Petite Brushed Soft Touch Ruched Front Mini Dress,£11.60,£29.00,,,,
Pixie Girl,Tops,Gray,https://www.warehousefashion.com/product/Pixie Girl-petite-slogan-t-shirt_p-a57105c4-ce82-4a4a-8286-3c9e50e332f9?colour=Grey,https://mediahub.debenhams.com/m5063111545889_grey_xl.jpeg?qlt=80&w=320&h=480&dpr=1&fit=ctn,Petite Slogan T-Shirt,£15.29,£17.99,,,,
Pixie Girl,Coats & Jackets,Gray,https://www.warehousefashion.com/product/Pixie Girl-petite-leopard-print-cropped-bomber-jacket_p-99101529-2df0-4de4-a169-cb708c3f6d1a?colour=Grey,https://mediahub.debenhams.com/m5063111839360_grey_xl.jpeg?qlt=80&w=320&h=480&dpr=1&fit=ctn,Petite Leopard Print Cropped Bomber Jacket,£29.99,,,,,
Pixie Girl,Dresses,Gray,https://www.warehousefashion.com/product/Pixie Girl-petite-contrast-stitch-maxi-dress_p-49bc06cb-848f-4ce9-b25b-27cf454a4bb6?colour=Grey,https://mediahub.debenhams.com/m5063111843985_grey_xl.jpeg?qlt=80&w=320&h=480&dpr=1&fit=ctn,Petite Contrast Stitch Maxi Dress,£31.99,,,,,
Pixie Girl,Jumpsuits & Playsuits,Gray,https://www.warehousefashion.com/product/Pixie Girl-petite-wide-leg-jumpsuit_p-1712be07-153d-404a-8481-bf364bf8ae30?colour=Metallic%20Silver,https://mediahub.debenhams.com/m5063111923588_metallic%20silver_xl.jpeg?qlt=80&w=320&h=480&dpr=1&fit=ctn,Petite Wide Leg Jumpsuit,£26.55,£39.99,,,,
Wallis,Dresses,Gray,https://www.warehousefashion.com/product/wallis-petite-animal-contrast-belt-shift-dress_byy14127?colour=grey,https://mediahub.debenhams.com/byy14127_grey_xl?qlt=80&w=320&h=480&dpr=1&fit=ctn,Petite Animal Contrast Belt Shift Dress,£33.00,£55.00,,,,
Wallis,Dresses,Gray,https://www.warehousefashion.com/product/wallis-petite-eyelet-strap-detail-knitted-midi-dress_byy12932?colour=charcoal,https://mediahub.debenhams.com/byy12932_charcoal_xl?qlt=80&w=320&h=480&dpr=1&fit=ctn,Petite Eyelet Strap Detail Knitted Midi Dress,£35.40,£59.00,https://mediahub.debenhams.com/byy12932_charcoal_xl_s?qlt=80&w=40&h=40&dpr=1&fit=cvr,https://mediahub.debenhams.com/byy12932_camel_xl_s?qlt=80&w=40&h=40&dpr=1&fit=cvr,,
Wallis,Dresses,Gray,https://www.warehousefashion.com/product/wallis-petite-occasion-seqiun-twist-pencil-dress_byy13354?colour=green,https://mediahub.debenhams.com/byy13354_green_xl?qlt=80&w=320&h=480&dpr=1&fit=ctn,Petite Occasion Seqiun Twist Pencil Dress,£55.20,£69.00,https://mediahub.debenhams.com/byy13354_green_xl_s?qlt=80&w=40&h=40&dpr=1&fit=cvr,https://mediahub.debenhams.com/byy13354_silver_xl_s?qlt=80&w=40&h=40&dpr=1&fit=cvr,,
Wallis,Knitwear,Gray,https://www.warehousefashion.com/product/wallis-petite-tie-hem-sleevless-jumper_byy13328?colour=grey%20marl,https://mediahub.debenhams.com/byy13328_grey%20marl_xl?qlt=80&w=320&h=480&dpr=1&fit=ctn,Petite Tie Hem Sleevless Jumper,£22.50,£45.00,,,,
