Position,Category,Brand,Colour,Product Name,Product Link,Main Image,Current Price,Original Price,Discount
39,Coats & Jackets,Phase Eight,Blue,Petite Zoelle Bow Jacket,https://www.phase-eight.com/product/petite-zoelle-bow-jacket-901172351.html#navAjax=true&imageType=model&is=true&sz=60&start=0&cgid=petite&isSecondPage=false&pid=901172351&pos=38,"https://media.phase-eight.com/image/upload/f_auto,q_auto,dpr_auto/w_600/p8-catalog/images/901172351/901172351-01-petite-zoelle-bow-jacket?_i=AG",£88,£110,20% Off Applied
40,Jumpsuits & Playsuits,Phase Eight,Multi-Coloured,Petite Sabina Satin Wide Leg Jumpsuit,https://www.phase-eight.com/product/petite-sabina-satin-wide-leg-jumpsuit-222370000.html#navAjax=true&imageType=model&is=true&sz=60&start=0&cgid=petite&isSecondPage=false&pid=222370000&pos=39,"https://media.phase-eight.com/image/upload/f_auto,q_auto,dpr_auto/w_600/p8-catalog/images/222370000/222370000-01-petite-sabina-satin-wide-leg-jumpsuit?_i=AG",£135.20,£169,20% Off Applied
41,Jumpsuits & Playsuits,Phase Eight,Red,Petite Elika Red Jumpsuit,https://www.phase-eight.com/product/petite-elika-red-jumpsuit-222519250.html#navAjax=true&imageType=model&is=true&sz=60&start=0&cgid=petite&isSecondPage=false&pid=222519250&pos=40,"https://media.phase-eight.com/image/upload/f_auto,q_auto,dpr_auto/w_600/p8-catalog/images/222519250/222519250-01-petite-elika-red-jumpsuit?_i=AG",£119.20,£149,20% Off Applied
42,Skirts,Phase Eight,Brown,Trinity Petite Skirt,https://www.phase-eight.com/product/trinity-petite-skirt-10000530200.html#navAjax=true&imageType=model&is=true&sz=60&start=0&cgid=petite&isSecondPage=false&pid=10000530200&pos=41,"https://media.phase-eight.com/image/upload/f_auto,q_auto,dpr_auto/w_600/p8-catalog/images/10000530200/10000530200-01-trinity-petite-pleated-skirt?_i=AG",£79.20,£99,20% Off Applied
43,Dresses,Phase Eight,Blue,Petite Florisa Embroidered Dress,https://www.phase-eight.com/product/petite-florisa-embroidered-dress-222100351.html#navAjax=true&imageType=model&is=true&sz=60&start=0&cgid=petite&isSecondPage=false&pid=222100351&pos=42,"https://media.phase-eight.com/image/upload/f_auto,q_auto,dpr_auto/w_600/p8-catalog/images/222100351/222100351-01-petite-florisa-embroidered-dress?_i=AG",£119.20,£149,20% Off Applied
44,Dresses,Phase Eight,Black,Petite Holly Velvet Star Wrap Maxi Dress,https://www.phase-eight.com/product/petite-holly-velvet-star-wrap-maxi-dress-221961050.html#navAjax=true&imageType=model&is=true&sz=60&start=0&cgid=petite&isSecondPage=false&pid=221961050&pos=43,"https://media.phase-eight.com/image/upload/f_auto,q_auto,dpr_auto/w_600/p8-catalog/images/221961050/221961050-01-petite-holly-velvet-star-wrap-maxi-dress?_i=AG",£127.20,£159,20% Off Applied
45,Dresses,Phase Eight,Blue,Petite Julissa Wrap Dress,https://www.phase-eight.com/product/petite-julissa-wrap-dress-222114351.html#navAjax=true&imageType=model&is=true&sz=60&start=0&cgid=petite&isSecondPage=false&pid=222114351&pos=44,"https://media.phase-eight.com/image/upload/f_auto,q_auto,dpr_auto/w_600/p8-catalog/images/222114351/222114351-01-petite-julissa-wrap-dress?_i=AG",£103.20,£129,20% Off Applied
46,Dresses,Phase Eight,Pink,Petite Harper Plise Pale Pink Dress,https://www.phase-eight.com/product/petite-harper-plise-pale-pink-dress-222588785.html#navAjax=true&imageType=model&is=true&sz=60&start=0&cgid=petite&isSecondPage=false&pid=222588785&pos=45,"https://media.phase-eight.com/image/upload/f_auto,q_auto,dpr_auto/w_600/p8-catalog/images/222588785/222588785-01-petite-harper-plise-pale-pink-dress?_i=AG",£135.20,£169,20% Off Applied
47,Jumpsuits & Playsuits,Phase Eight,Black,Petite Sasha Black Sparkle Jumpsuit,https://www.phase-eight.com/product/petite-sasha-black-sparkle-jumpsuit-222512050.html#navAjax=true&imageType=model&is=true&sz=60&start=0&cgid=petite&isSecondPage=false&pid=222512050&pos=46,"https://media.phase-eight.com/image/upload/f_auto,q_auto,dpr_auto/w_600/p8-catalog/images/222512050/222512050-01-petite-sasha-black-sparkle-jumpsuit?_i=AG",£95.20,£119,20% Off Applied
48,Coats & Jackets,Phase Eight,Black,Petite Lydia Long Wool Coat,https://www.phase-eight.com/product/petite-lydia-long-wool-coat-950840050.html#navAjax=true&imageType=model&is=true&sz=60&start=0&cgid=petite&isSecondPage=false&pid=950840050&pos=47,"https://media.phase-eight.com/image/upload/f_auto,q_auto,dpr_auto/w_600/p8-catalog/images/950840050/950840050-01-petite-lydia-long-wool-coat?_i=AG",£183.20,£229,20% Off Applied
49,Coats & Jackets,Phase Eight,Pink,Petite Daisy Jacket,https://www.phase-eight.com/product/petite-daisy-jacket-901165785.html#navAjax=true&imageType=model&is=true&sz=60&start=0&cgid=petite&isSecondPage=false&pid=901165785&pos=48,"https://media.phase-eight.com/image/upload/f_auto,q_auto,dpr_auto/w_600/p8-catalog/images/901165785/901165785-01-petite-daisy-jacket?_i=AG",£103.20,£129,20% Off Applied
50,Trousers,Phase Eight,Black,Petite Trixie Turn Up Hem Trouser,https://www.phase-eight.com/product/petite-trixie-turn-up-hem-trouser-101676050.html#navAjax=true&imageType=model&is=true&sz=60&start=0&cgid=petite&isSecondPage=false&pid=101676050&pos=49,"https://media.phase-eight.com/image/upload/f_auto,q_auto,dpr_auto/w_600/p8-catalog/images/101676050/101676050-01-petite-trixie-turn-up-hem-trouser?_i=AG",£79.20,£99,20% Off Applied
51,Blazer,Phase Eight,Green,Petite Arabella Crop Blazer,https://www.phase-eight.com/product/petite-arabella-crop-blazer-901198693.html#navAjax=true&imageType=model&is=true&sz=60&start=0&cgid=petite&isSecondPage=false&pid=901198693&pos=50,"https://media.phase-eight.com/image/upload/f_auto,q_auto,dpr_auto/w_600/p8-catalog/images/901198693/901198693-01-petite-arabella-crop-blazer?_i=AG",£111.20,£139,20% Off Applied
52,Coats & Jackets,Phase Eight,Pink,Petite Ulrica Fitted Jacket,https://www.phase-eight.com/product/petite-ulrica-fitted-jacket-901177840.html#navAjax=true&imageType=model&is=true&sz=60&start=0&cgid=petite&isSecondPage=false&pid=901177840&pos=51,"https://media.phase-eight.com/image/upload/f_auto,q_auto,dpr_auto/w_600/p8-catalog/images/901177840/901177840-01-petite-ulrica-fitted-jacket?_i=AG",£95.20,£119,20% Off Applied
53,Dresses,Phase Eight,Blue,Petite Marren Blue Chiffon Maxi Dress,https://www.phase-eight.com/product/petite-marren-blue-chiffon-maxi-dress-222361408.html#navAjax=true&imageType=model&is=true&sz=60&start=0&cgid=petite&isSecondPage=false&pid=222361408&pos=52,"https://media.phase-eight.com/image/upload/f_auto,q_auto,dpr_auto/w_600/p8-catalog/images/222361408/222361408-01-petite-marren-blue-chiffon-maxi-dress?_i=AG",£263.20,£329,20% Off Applied
