Position,Category,Brand,Colour,Product Name,Original Price,Current Price,Discount,Product Link,Main Image,Swatch Image 1,Swatch Image 2
85,Dresses,Boden,"Multi, Opulent Paisley",Thea Long Sleeve Jersey Dress,,£90.00,30% OFF WITH CODE T3B6,https://www.boden.co.uk/en-gb/thea-long-sleeve-jersey-dress-multi-opulent-paisley/sty-d1059-mlt?cat=C1_S2_SH0052,https://www.bodenimages.com/productimages/r1aproductlarge/24waut_d1059_mlt_m01.jpg,https://www.bodenimages.com/productimages/r1asw/24waut_d1059_blk_s.jpg,https://www.bodenimages.com/productimages/r1asw/24waut_d1059_nar_s.jpg
86,Jeans,Boden,Pine,5 Pocket Cord Slim Jeans,,£80.00,30% OFF WITH CODE T3B6,https://www.boden.co.uk/en-gb/5-pocket-cord-slim-jeans-pine/sty-r0446-mgr?cat=C1_S2_SH0052,https://www.bodenimages.com/productimages/r1aproductlarge/24wwin_r0446_mgr_m01.jpg,https://www.bodenimages.com/productimages/r1asw/24waut_r0446_bla_s.jpg,https://www.bodenimages.com/productimages/r1asw/24waut_r0446_nvy_s.jpg
87,Trousers,Boden,Deep Wisteria,Richmond 7/8 Trousers,,£75.00,30% OFF WITH CODE T3B6,https://www.boden.co.uk/en-gb/richmond-7-8-trousers-deep-wisteria/sty-r0629-bpr?cat=C1_S2_SH0052,https://www.bodenimages.com/productimages/r1aproductlarge/24wwin_r0629_bpr_m01.jpg,https://www.bodenimages.com/productimages/r1asw/24waut_r0629_blk_s.jpg,https://www.bodenimages.com/productimages/r1asw/24waut_r0629_nav_s.jpg
88,Dresses,Boden,"Navy, Blossom Stamp",High Neck Tiered Jersey Dress,,£98.00,30% OFF WITH CODE T3B6,https://www.boden.co.uk/en-gb/high-neck-tiered-jersey-dress-navy-blossom-stamp/sty-d1085-nav?cat=C1_S2_SH0052,https://www.bodenimages.com/productimages/r1aproductlarge/24wwin_d1085_nav_m01.jpg,https://www.bodenimages.com/productimages/r1asw/24wwin_d1085_grn_s.jpg,https://www.bodenimages.com/productimages/r1asw/24wwin_d1085_nav_s.jpg
89,Coats & Jackets,Boden,"Mauve Mist, Ornate Bud",Hamilton Velvet Coat,,£280.00,30% OFF WITH CODE T3B6,https://www.boden.co.uk/en-gb/hamilton-velvet-coat-mauve-mist-ornate-bud/sty-u0268-prl?cat=C1_S2_SH0052,https://www.bodenimages.com/productimages/r1aproductlarge/24wwin_u0268_prl_m01.jpg,https://www.bodenimages.com/productimages/r1asw/24wwin_u0268_gst_s.jpg,https://www.bodenimages.com/productimages/r1asw/24wwin_u0268_prl_s.jpg
90,Skirts,Boden,Mid Wash,5 Pocket Denim Maxi Skirt,,£90.00,30% OFF WITH CODE T3B6,https://www.boden.co.uk/en-gb/5-pocket-denim-maxi-skirt-mid-wash/sty-r0596-mdn?cat=C1_S2_SH0052,https://www.bodenimages.com/productimages/r1aproductlarge/24wsum_r0596_mdn_m01.jpg,https://www.bodenimages.com/productimages/r1asw/24wsum_r0596_mdn_s.jpg,https://www.bodenimages.com/productimages/r1asw/24wsum_r0596_mdn_s.jpg
91,Trousers,Boden,"Navy, Red Stripe",Kew Side Stripe Trousers,,£90.00,30% OFF WITH CODE T3B6,https://www.boden.co.uk/en-gb/kew-side-stripe-trousers-navy-red-stripe/sty-r0428-blu?cat=C1_S2_SH0052,https://www.bodenimages.com/productimages/r1aproductlarge/24waut_r0428_blu_m01.jpg,https://www.bodenimages.com/productimages/r1asw/22waut_r0428_blu_s.jpg,https://www.bodenimages.com/productimages/r1asw/22waut_r0428_blu_s.jpg
92,Tops,Boden,Navy,Saskia Stretch Cotton Shirt,,£60.00,30% OFF WITH CODE T3B6,https://www.boden.co.uk/en-gb/saskia-stretch-cotton-shirt-navy/sty-t1673-nvy?cat=C1_S2_SH0052,https://www.bodenimages.com/productimages/r1aproductlarge/24waut_t1673_nvy_m01.jpg,https://www.bodenimages.com/productimages/r1asw/24waut_t1673_nvy_s.jpg,https://www.bodenimages.com/productimages/r1asw/24waut_t1673_nvy_s.jpg
93,Skirts,Boden,"Denim Blue, Tiger Border",Viv Crepe Tiered Maxi Skirt,,£110.00,30% OFF WITH CODE T3B6,https://www.boden.co.uk/en-gb/viv-crepe-tiered-maxi-skirt-denim-blue-tiger-border/sty-r0631-dbl?cat=C1_S2_SH0052,https://www.bodenimages.com/productimages/r1aproductlarge/24wwin_r0631_dbl_m01.jpg,https://www.bodenimages.com/productimages/r1asw/24wwin_r0631_dbl_s.jpg,https://www.bodenimages.com/productimages/r1asw/24wwin_r0631_dbl_s.jpg
94,Tops,Boden,Royal Purple,Connie Relaxed Silk Shirt,,£130.00,30% OFF WITH CODE T3B6,https://www.boden.co.uk/en-gb/connie-relaxed-silk-shirt-royal-purple/sty-t1681-prp?cat=C1_S2_SH0052,https://www.bodenimages.com/productimages/r1aproductlarge/24wwin_t1681_prp_m01.jpg,https://www.bodenimages.com/productimages/r1asw/24waut_t1681_dbl_s.jpg,https://www.bodenimages.com/productimages/r1asw/24wwin_t1681_prp_s.jpg
95,Skirts,Boden,"Rubber, Ornate Stamp",Estella Cord Skirt,,£65.00,30% OFF WITH CODE T3B6,https://www.boden.co.uk/en-gb/estella-cord-skirt-rubber-ornate-stamp/sty-r0450-flr?cat=C1_S2_SH0052,https://www.bodenimages.com/productimages/r1aproductlarge/24wwin_r0450_flr_m01.jpg,https://www.bodenimages.com/productimages/r1asw/24wwin_r0450_brn_s.jpg,https://www.bodenimages.com/productimages/r1asw/24wwin_r0450_nar_s.jpg
96,Dresses,Boden,"Pine, Blossom Stamp",Amelie Long Sleeve Dress,,£60.00,30% OFF WITH CODE T3B6,https://www.boden.co.uk/en-gb/amelie-long-sleeve-dress-pine-blossom-stamp/sty-d1066-lgr?cat=C1_S2_SH0052,https://www.bodenimages.com/productimages/r1aproductlarge/24wwin_d1066_lgr_m01.jpg,https://www.bodenimages.com/productimages/r1asw/24waut_d1066_flr_s.jpg,https://www.bodenimages.com/productimages/r1asw/24waut_d1066_nmy_s.jpg
97,Dresses,Boden,Multistripe,Maria Knitted Midi Dress,,£120.00,30% OFF WITH CODE T3B6,https://www.boden.co.uk/en-gb/maria-knitted-midi-dress-multistripe/sty-d1072-str?cat=C1_S2_SH0052,https://www.bodenimages.com/productimages/r1aproductlarge/24waut_d1072_str_m01.jpg,https://www.bodenimages.com/productimages/r1asw/24wwin_d1072_blk_s.jpg,https://www.bodenimages.com/productimages/r1asw/24waut_d1072_str_s.jpg
98,Trousers,Boden,Deep Wisteria,Richmond Trousers,,£80.00,30% OFF WITH CODE T3B6,https://www.boden.co.uk/en-gb/richmond-trousers-deep-wisteria/sty-r0634-prp?cat=C1_S2_SH0052,https://www.bodenimages.com/productimages/r1aproductlarge/24wwin_r0634_prp_m01.jpg,https://www.bodenimages.com/productimages/r1asw/24waut_r0634_blk_s.jpg,https://www.bodenimages.com/productimages/r1asw/24waut_r0634_nav_s.jpg
99,Blazer,Boden,Hot Pepper,Marylebone Ponte Blazer,,£120.00,30% OFF WITH CODE T3B6,https://www.boden.co.uk/en-gb/marylebone-ponte-blazer-hot-pepper/sty-u0194-red?cat=C1_S2_SH0052,https://www.bodenimages.com/productimages/r1aproductlarge/24wspr_u0194_red_m01.jpg,https://www.bodenimages.com/productimages/r1asw/23waut_u0194_blk_s.jpg,https://www.bodenimages.com/productimages/r1asw/23waut_u0194_nav_s.jpg
100,Trousers,Boden,Malachite,Richmond Trousers,,£80.00,30% OFF WITH CODE T3B6,https://www.boden.co.uk/en-gb/richmond-trousers-malachite/sty-r0634-grn?cat=C1_S2_SH0052,https://www.bodenimages.com/productimages/r1aproductlarge/24wwin_r0634_grn_m01.jpg,https://www.bodenimages.com/productimages/r1asw/24waut_r0634_blk_s.jpg,https://www.bodenimages.com/productimages/r1asw/24waut_r0634_nav_s.jpg
101,Tops,Boden,"Almond Pink, Sparse Spot",Sienna Cotton Shirt,,£60.00,30% OFF WITH CODE T3B6,https://www.boden.co.uk/en-gb/sienna-cotton-shirt-almond-pink-sparse-spot/sty-t1670-pch?cat=C1_S2_SH0052,https://www.bodenimages.com/productimages/r1aproductlarge/24waut_t1670_pch_m01.jpg,https://www.bodenimages.com/productimages/r1asw/24wwin_t1670_bgr_s.jpg,https://www.bodenimages.com/productimages/r1asw/24waut_t1670_pch_s.jpg
