Brand,Category,Product Link,Main Image,Product Name,Colour,Current Price,Main Image,Swatch Image 1,Swatch Image 2,Swatch Image 3,Discount,Original Price
Pixie Girl,Coats & Jackets,https://www.pixiegirl.com/pixiegirl-dark-blue-contrast-stitch-cropped-denim-jacket-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/73494f86-31ea-44_225111_70.jpg,PixieGirl Dark Blue Contrast Stitch Cropped Denim Jacket,Blue,£39,https://cdn.pixiegirl.com/Images/ProductImages/Big/73494f86-31ea-44_225111_70.jpg,,,,,
Pixie Girl,Coats & Jackets,https://www.pixiegirl.com/pixiegirl-indigo-blue-denim-jacket-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/51b51b59-dad1-44_224782_A.jpg,PixieGirl Indigo Blue Denim Jacket,Blue,£39.99,https://cdn.pixiegirl.com/Images/ProductImages/Big/51b51b59-dad1-44_224782_A.jpg,,,,,
Pixie Girl,Dresses,https://www.pixiegirl.com/pixiegirl-indigo-blue-denim-tie-waist-midi-dress-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/635fcb28-afe9-47_225228_A.jpg,PixieGirl Indigo Blue Denim Tie Waist Midi Dress,Blue,£39.99,https://cdn.pixiegirl.com/Images/ProductImages/Big/635fcb28-afe9-47_225228_A.jpg,https://cdn.pixiegirl.com/Images/ProductImages/Small/190577af-3593-47_223225_X.jpg,https://cdn.pixiegirl.com/Images/ProductImages/Small/9603bfeb-9fbc-45_225229_X.jpg,https://cdn.pixiegirl.com/Images/ProductImages/Small/1727119a-d244-46_224042_X.jpg,,
Pixie Girl,Trousers,https://www.pixiegirl.com/pixiegirl-blue-floral-swirl-print-cropped-trousers-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/17399883-02e2-45_225377_A.jpg,PixieGirl Blue Floral Swirl Print Cropped Trousers,Blue,£19.99,https://cdn.pixiegirl.com/Images/ProductImages/Big/17399883-02e2-45_225377_A.jpg,https://cdn.pixiegirl.com/Images/ProductImages/Small/ff3dadea-2d98-4b_225380_X.jpg,,,,
Pixie Girl,Jeans,https://www.pixiegirl.com/pixiegirl-blue-eyelet-detail-wide-leg-jeans-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/bfaefc4e-f6a0-4e_225158_13.jpg,PixieGirl Blue Eyelet Detail Wide Leg Jeans,Blue,£35,https://cdn.pixiegirl.com/Images/ProductImages/Big/bfaefc4e-f6a0-4e_225158_13.jpg,,,,,
Pixie Girl,Jeans,https://www.pixiegirl.com/pixiegirl-indigo-blue-pocket-patch-flared-jeans-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/da45879c-0a2f-4a_225338_10.jpg,PixieGirl Indigo Blue Pocket Patch Flared Jeans,Blue,£35,https://cdn.pixiegirl.com/Images/ProductImages/Big/da45879c-0a2f-4a_225338_10.jpg,,,,,
Pixie Girl,Jeans,https://www.pixiegirl.com/indigo-seam-front-kick-flare-j-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/e0d0cb1c-c1c5-46_225340_A.jpg,PixieGirl Indigo Blue Seam Front Flared Jeans,Blue,£34.99,https://cdn.pixiegirl.com/Images/ProductImages/Big/e0d0cb1c-c1c5-46_225340_A.jpg,,,,,
Pixie Girl,Jeans,https://www.pixiegirl.com/pixiegirl-blue-washed-denim-seam-front-jeans-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/650faf07-a8ce-4d_225347_26.jpg,PixieGirl Blue Washed Denim Seam Front Jeans,Blue,£34.99,https://cdn.pixiegirl.com/Images/ProductImages/Big/650faf07-a8ce-4d_225347_26.jpg,,,,,
Pixie Girl,Jeans,https://www.pixiegirl.com/petite-blue-distressed-skinny-ava-jeans-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/721a416a-3ac8-45_222039_C.jpg,PixieGirl Blue Distressed Stretch Skinny AVA Jeans,Blue,£32.99,https://cdn.pixiegirl.com/Images/ProductImages/Big/721a416a-3ac8-45_222039_C.jpg,,,,,
Pixie Girl,Jumpsuits & Playsuits,https://www.pixiegirl.com/pixiegirl-blue-shirred-ditsy-print-playsuit-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/f21944e0-ab7b-49_223173_A.jpg,PixieGirl Blue Shirred Ditsy Print Playsuit,Blue,£15,https://cdn.pixiegirl.com/Images/ProductImages/Big/f21944e0-ab7b-49_223173_A.jpg,https://cdn.pixiegirl.com/Images/ProductImages/Small/197b2452-e83c-48_223209_X.jpg,,,(40% OFF),£24.99
