Brand,Category,Colour,Product Link,Main Image,Product Name,Current Price,,,,,,,,,,
Mint Velvet,Trousers,Blue,https://mintvelvet.com/products/navy-drawstring-wide-trousers,https://mintvelvet.com/cdn/shop/files/navy-drawstring-wide-trousers_1_240801113643_840x.jpg?v=1224930,Navy Drawstring Wide Trousers,£99.00,,,,,,,,,,navy drawstring wide trousers
Mint Velvet,Trousers,Black,https://mintvelvet.com/products/black-wide-waist-detail-trousers,https://mintvelvet.com/cdn/shop/files/black-wide-waist-detail-trousers_1_240729023944_840x.jpg?v=1224930,Black Wide Leg Trousers,£119.00,,,,,,,,,,black wide leg trousers
Mint Velvet,Jeans,Blue,https://mintvelvet.com/products/light-indigo-wide-jeans,https://mintvelvet.com/cdn/shop/files/light-indigo-wide-jeans_1_241024022015_840x.jpg?v=1224930,Light Indigo Wide Jeans,£99.00,,,,,,,,,,light indigo wide jeans
Mint Velvet,Jeans,Blue,https://mintvelvet.com/products/indigo-relaxed-wide-jeans,https://mintvelvet.com/cdn/shop/files/indigo-relaxed-wide-jeans_2_240809104854_840x.jpg?v=1224930,Indigo Relaxed Straight Jeans,£89.00,,,,,,,,,,indigo relaxed straight jeans
Mint Velvet,Jeans,Blue,https://mintvelvet.com/products/mid-indigo-slim-jeans,https://mintvelvet.com/cdn/shop/files/mid-indigo-slim-jeans_1_240809110652_840x.jpg?v=1224930,Mid Indigo Slim Jeans,£89.00,,,,,,,,,,mid indigo slim jeans
Mint Velvet,Trousers,Black,https://mintvelvet.com/products/black-pleated-wide-trousers,https://mintvelvet.com/cdn/shop/files/plisse-wide-leg-trouser-1_1_240322024731_840x.jpg?v=1224930,Black Pleated Wide Trousers,£59.00,,,,,,,,,,black pleated wide trousers
Mint Velvet,Jeans,Blue,https://mintvelvet.com/products/mid-indigo-workable-wide-jeans,https://mintvelvet.com/cdn/shop/files/mid-indigo-workable-wide-jeans_1_240923012845_840x.jpg?v=1224930,Mid Indigo Workable Wide Jeans,£99.00,,,,,,,,,,mid indigo workable wide jeans
Mint Velvet,Jeans,Gray,https://mintvelvet.com/products/grey-carpenter-slim-jean,https://mintvelvet.com/cdn/shop/files/grey-carpenter-slim-jean_1_240729010213_840x.jpg?v=1224930,Grey Carpenter Slim Jeans,£99.00,,,,,,,,,,grey carpenter slim jeans
Mint Velvet,Jeans,Blue,https://mintvelvet.com/products/indigo-seam-detail-wide-jeans,https://mintvelvet.com/cdn/shop/files/indigo-seam-detail-wide-jeans_1_241112093234_840x.jpg?v=1224930,Indigo Seam Detail Jeans,£99.00,,,,,,,,,,indigo seam detail jeans
Mint Velvet,Trousers,Cream,https://mintvelvet.com/products/snake-print-leather-trousers,https://mintvelvet.com/cdn/shop/files/snake-print-leather-trousers_1_241002010727_840x.jpg?v=1224930,Cream Snake Print Leather Trousers,£299.00,,,,,,,,,,cream snake print leather trousers
Mint Velvet,Trousers,Black,https://mintvelvet.com/products/black-palazzo-wide-leg-trouser,https://mintvelvet.com/cdn/shop/files/palazzo-wide-leg-trousers-trousers-mint-velvet-108095_840x.jpg?v=1224930,Black Palazzo Wide Leg Trousers,£45.00,,,,,,,,,,black palazzo wide leg trousers
Mint Velvet,Trousers,Blue,https://mintvelvet.com/products/navy-pleated-wide-trousers,https://mintvelvet.com/cdn/shop/files/pleat-super-wide-trouser_1_240223021241_840x.jpg?v=1224930,Navy Pleated Wide Trousers,£139.00,,,,,,,,,,navy pleated wide trousers
Mint Velvet,Leggings & Jeggings,Black,https://mintvelvet.com/products/black-faux-leather-leggings,https://mintvelvet.com/cdn/shop/products/black-faux-leather-leggings-leggings-mint-velvet-795246_840x.jpg?v=1224930,Black Faux Leather Leggings,£32.00,,,,,,,,,,black faux leather leggings
Mint Velvet,Trousers,Black,https://mintvelvet.com/products/black-palazzo-wide-trousers,https://mintvelvet.com/cdn/shop/products/palazzo-wide-leg-trousers-trousers-mint-velvet-267656_840x.jpg?v=1224930,Black Palazzo Wide Trousers,£45.00,,,,,,,,,,black palazzo wide trousers
Mint Velvet,Leggings & Jeggings,Black,https://mintvelvet.com/products/black-straight-leggings,https://mintvelvet.com/cdn/shop/products/black-straight-leggings-leggings-mint-velvet-252435_840x.jpg?v=1224930,Black Straight Leggings,£19.00,,,,,,,,,,black straight leggings
Mint Velvet,Leggings & Jeggings,Blue,https://mintvelvet.com/products/navy-straight-leggings,https://mintvelvet.com/cdn/shop/products/navy-straight-leggings-leggings-mint-velvet-119628_840x.jpg?v=1224930,Navy Straight Leggings,£19.00,,,,,,,,,,
